DateTime,AddedIPs,RemovedIPs
1536175707,0,3
1536177688,3,0
1536183641,1,0
1536185571,1,2
1536187469,0,1
1536190323,0,3
1536192266,0,2
1536194205,3,0
1536196369,3,0
1536198301,2,2
1536200213,2,1
1536202138,1,0
1536204036,0,1
1536205985,0,4
1536209811,1,0
1536211711,1,2
1536213715,0,3
1536215612,0,1
1536221351,1,4
1536223225,3,2
1536225184,0,1
1536227073,0,2
1536229022,1,1
1536230912,1,0
1536232857,1,0
1536234760,1,0
1536236712,3,1
1536238618,0,1
1536240530,0,1
1536242541,3,0
1536246300,0,2
1536248235,0,1
1536250394,1,0
1536252284,1,1
1536256125,0,2
1536258035,1,2
1536259979,1,1
1536263792,0,3
1536269575,0,1
1536271470,2,0
1536273405,0,1
1536279414,1,0
1536281309,1,6
1536283290,0,1
1536285171,0,1
1536287082,2,2
1536289008,0,1
1536294769,1,0
1536296666,0,1
1536298624,1,0
1536300547,1,0
1536302431,1,0
1536306267,2,1
1536308219,0,2
1536310111,2,1
1536312061,1,0
1536313968,2,0
1536315891,0,1
1536317787,1,1
1536319721,0,1
1536321707,0,4
1536323569,1,0
1536325516,2,0
1536327397,2,0
1536329333,1,3
1536333167,1,0
1536337266,0,1
1536339180,1,1
1536341092,2,0
1536343009,1,0
1536344922,1,3
1536350713,2,0
1536356425,1,1
1536358375,0,1
1536360268,2,0
1536366043,5,1
1536367942,0,1
1536373713,0,1
1536375697,1,0
1536377550,1,0
1536379534,1,0
1536381380,0,1
1536387168,0,1
1536389058,0,1
1536393180,0,2
1536396980,2,2
1536398925,0,3
1536402778,1,0
1536404673,3,1
1536408534,2,1
1536412370,1,2
1536414265,1,2
1536416222,1,0
1536418103,1,0
1536420061,1,0
1536421970,0,1
1536426094,0,2
1536427965,1,1
1536429911,0,2
1536435649,1,1
1536437554,0,1
1536439468,1,0
1536443311,0,1
1536445241,2,1
1536447152,2,1
1536451010,0,1
1536452904,0,4
1536458672,2,0
1536462533,1,2
1536464446,2,1
1536470207,0,1
1536472114,1,0
1536474046,1,0
1536475950,1,0
1536480089,2,0
1536483872,2,2
1536489633,0,1
1536491555,0,2
1536493478,1,1
1536495418,1,1
1536499243,0,1
1536503064,1,1
1536505002,1,1
1536506904,0,1
1536508888,1,0
1536510754,0,1
1536514835,1,1
1536516737,2,0
1536522523,1,1
1536526587,1,1
1536528975,1,0
1536530903,1,2
1536532850,1,2
1536534889,1,0
1536536940,1,0
1536542660,1,0
1536544584,0,1
1536546766,0,1
1536548791,0,1
1536550823,0,2
1536558767,0,2
1536562868,0,1
1536564750,0,1
1536566687,0,1
1536570512,0,3
1536572419,1,0
1536578196,1,0
1536580105,0,1
1536582035,1,1
1536589701,0,1
1536591677,0,1
1536595476,0,1
1536601225,1,1
1536603172,0,1
1536607006,1,0
1536608906,0,1
1536613906,1,1
1536619944,1,4
1536624101,0,1
1536629794,2,0
1536631724,1,0
1536635560,1,0
1536645171,2,0
1536651177,0,1
1536655266,1,0
1536657162,0,1
1536659103,2,0
1536662944,1,0
1536664858,1,0
1536668693,2,1
1536670615,1,0
1536672513,1,0
1536676355,2,2
1536678351,0,1
1536680441,1,0
1536684297,1,0
1536686228,1,0
1536688288,1,2
1536690286,3,0
1536694112,0,1
1536698212,0,1
1536705882,1,1
1536707801,2,0
1536711636,1,0
1536713580,2,0
1536715510,0,1
1536717409,1,1
1536721324,1,1
1536723161,1,0
1536730843,0,1
1536732783,0,1
1536740461,1,1
1536744316,0,1
1536746232,0,1
1536748130,0,1
1536750082,1,0
1536751959,1,1
1536755801,0,1
1536757715,0,2
1536759628,0,1
1536761560,1,1
1536763496,0,1
1536767313,1,0
1536769256,0,1
1536771167,0,1
1536773085,0,2
1536774986,0,1
1536776928,0,2
1536778898,1,0
1536780765,1,0
1536786533,1,0
1536788440,1,0
1536790350,1,0
1536792260,0,1
1536794244,0,2
1536799967,0,1
1536801899,1,1
1536803788,0,1
1536805710,0,1
1536807695,0,1
1536809569,0,1
1536815337,1,0
1536827102,0,1
1536834982,0,1
1536839083,0,1
1536844836,1,0
1536846785,0,1
1536848674,0,1
1536850591,1,0
1536852506,1,1
1536856364,1,0
1536858330,1,0
1536867891,1,1
1536871973,2,0
1536873868,0,1
1536877709,1,2
1536881544,2,0
1536883502,1,0
1536887345,5,0
1536891164,1,0
1536893065,1,0
1536900754,0,1
1536912560,2,0
1536914477,0,1
1536918291,1,0
1536922109,2,0
1536924078,2,0
1536925961,1,0
1536931975,1,1
1536933880,1,0
1536935782,1,1
1536937751,0,1
1536941812,0,1
1536943727,0,1
1536947573,1,0
1536955288,0,1
1536957167,1,1
1536961025,0,1
1536962933,1,1
1536967032,0,1
1536968906,1,3
1536974699,0,5
1536976581,1,0
1536978509,0,1
1536980515,2,0
1536992223,0,1
1536998503,0,1
1537000373,0,1
1537002293,1,0
1537004224,2,0
1537008057,0,3
1537009966,1,1
1537011886,1,2
1537015981,1,0
1537017885,0,1
1537019812,0,1
1537023700,0,1
1537027556,1,0
1537033478,0,1
1537035435,1,0
1537041177,1,0
1537044987,0,1
1537046948,1,0
1537048939,4,1
1537052687,3,0
1537054635,1,0
1537056547,0,1
1537058457,1,0
1537062296,1,1
1537066117,0,1
1537068052,0,1
1537069956,1,0
1537071893,1,0
1537075740,1,0
1537079576,1,0
1537089170,0,1
1537091359,0,2
1537097098,0,1
1537098998,2,0
1537102891,0,1
1537112459,1,0
1537114409,0,1
1537118215,1,0
1537120359,2,0
1537122262,1,0
1537124518,1,0
1537128333,1,1
1537130193,1,0
1537134032,0,2
1537136214,0,2
1537138135,0,1
1537140047,0,1
1537142198,0,1
1537144116,0,1
1537146100,0,2
1537147959,2,1
1537149883,1,0
1537155916,1,1
1537161647,0,1
1537167410,0,1
1537171297,1,0
1537173174,1,0
1537182776,1,1
1537186626,1,1
1537192365,1,0
1537196694,1,0
1537200570,2,1
1537202565,2,0
1537204847,1,0
1537206762,0,2
1537208658,1,1
1537212548,0,1
1537216370,0,1
1537218273,2,1
1537232474,1,0
1537234354,0,2
1537236283,0,1
1537242051,0,1
1537249696,1,0
1537253563,1,1
1537257400,0,1
1537259319,0,1
1537263172,1,0
1537266977,1,0
1537268940,1,1
1537273012,0,1
1537275161,1,0
1537279007,1,1
1537283060,15,1
1537285255,1,0
1537287930,0,3
1537290126,1,1
1537291979,3,1
1537293919,0,1
1537297725,1,0
1537303493,0,2
1537307312,1,0
1537309252,2,0
1537319076,1,1
1537334438,2,0
1537338281,1,0
1537340212,1,1
1537344268,2,0
1537346075,1,0
1537347884,2,0
1537349793,0,1
1537353680,0,2
1537359435,0,1
1537361309,0,1
1537365162,0,1
1537368999,0,14
1537371158,2,1
1537376914,0,2
1537378833,1,2
1537384603,0,1
1537390361,1,0
1537396109,1,1
1537401891,1,0
1537403800,0,1
1537407647,1,0
1537417240,0,1
1537423029,1,0
1537430730,0,1
1537432844,1,0
1537434775,1,3
1537436672,0,3
1537438617,0,1
1537440516,1,0
1537442457,1,0
1537444381,0,1
1537448206,0,1
1537453963,2,0
1537455889,0,1
1537459766,2,0
1537463563,1,0
1537465500,2,0
1537469314,1,0
1537475096,0,1
1537478906,4,0
1537482760,0,1
1537484674,0,1
1537486610,0,1
1537488521,0,1
1537492359,0,1
1537502008,0,1
1537505794,2,0
1537509691,1,2
1537511559,1,0
1537513481,1,0
1537515408,1,0
1537519251,0,2
1537521433,0,1
1537527178,0,1
1537529103,0,1
1537531006,1,0
1537532929,1,0
1537534896,1,0
1537538712,0,1
1537540620,0,1
1537542548,1,0
1537544445,1,0
1537546615,0,2
1537548759,1,1
1537550686,0,2
1537558369,2,0
1537564138,1,2
1537566046,0,2
1537567966,1,0
1537569866,0,2
1537573732,1,0
1537575655,1,0
1537580451,1,0
1537582370,1,0
1537592175,0,1
1537594370,0,1
1537596327,0,2
1537598196,1,0
1537602054,0,1
1537605878,2,0
1537607802,1,0
1537617391,0,1
1537619307,0,1
1537621296,0,1
1537628915,1,1
1537630830,1,1
1537634670,0,1
1537640439,16,0
1537644277,0,1
1537646207,1,0
1537650095,0,1
1537655793,1,1
1537657719,2,0
1537659638,0,1
1537661553,1,1
1537663475,0,1
1537665403,1,0
1537667307,1,1
1537673072,0,1
1537692274,0,1
1537694205,0,1
1537696115,1,0
1537703803,0,1
1537715311,0,1
1537717236,0,1
1537719189,1,0
1537723000,1,0
1537726832,0,17
1537732753,1,1
1537734759,1,0
1537740513,1,0
1537742438,1,1
1537744349,0,1
1537746269,1,0
1537748207,0,2
1537752028,0,1
1537753950,1,1
1537759705,1,0
1537765477,2,0
1537771238,2,0
1537775078,1,0
1537777015,1,0
1537780830,0,1
1537782858,1,0
1537788528,1,0
1537805823,0,1
1537809881,0,1
1537819736,0,1
1537821650,0,1
1537825478,1,0
1537827406,1,1
1537829308,0,1
1537835084,1,0
1537837006,1,0
1537840941,2,0
1537850464,0,1
1537852350,0,1
1537856221,1,0
1537858106,0,1
1537861990,0,2
1537867720,1,1
